Номер ОУ,Полное наименование ОУ по Уставу,Краткое наименование,Адрес электронной почты,Адрес ОУ,Должность руководителя,ФИО руководителя,Тип ОУ,Вид ОУ,Телефон,Район,Подведомственность,"""Статус сервиса """"Электронный дневник""""""",ОГРН,Адрес электронной почты из Параграф.Регион,Адрес сайта в сети Интернет,Название,Адрес сайта,Город,Улица,Дом,Литерал,Корпус,Индекс,Сайт инициализирован,Сайт ОО,Код здания ФИАС,Тип местности,Часы работы,Юридический адрес через код здания ФИАС,Организационно-правовая форма,Статус,Тип группы ОВЗ,Тип питания,Официальный сайт,Старый ОГРН,ОКТМО
"",Государственное бюджетное учреждение дополнительного образования Дворец детского (юношеского) творчества Выборгского района Санкт-Петербурга,ГБУ ДО ДДЮТ,dutvyb@mail.ru,"Санкт-Петербург г, Сантьяго-де-Куба ул, 4, А, 2, 194291",Директор,Савченко Натела Александровна,Образовательные учреждения  дополнительного образования детей,Дворец,8-812-510-67-78,"",Выборгский,"",1027801582181,"",http://ddutvyborg.spb.ru,"",ddutvyborg.spb.ru,Санкт-Петербург г,Сантьяго-де-Куба ул,4,"",2,194291,"","","","","","","","","","","","",""
112,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №112 Выборгского района Санкт-Петербурга,ГБОУ СОШ №112,112@shko.la,"Санкт-Петербург г, Кустодиева ул, 18, А, 2, 194352",Директор,Сыкеева Людмила Петровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-246-02-91,Выборгский,Выборгский,"",1027801583512,112@shko.la,http://www.112-school.ru,ГОУ СОШ №112,www.112-school.ru,Санкт-Петербург г,Кустодиева ул,18,"",2,194352,Да,ГБОУ СОШ №112,00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
23,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 23 с углубленным изучением финского языка Невского района Санкт-Петербурга,ГБОУ СОШ №23,school23spb@gmail.com,"Санкт-Петербург г, Дыбенко ул, 20, Ф, 4, 193168",Директор,Бондарчук Тамара Игоревна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-588-79-10,Невский,Невский,"",1027806084987,school23@spb.edu.ru,http://spbschool23.ru/,ГОУ СОШ №23,http://spbschool23.ru/,Санкт-Петербург г,Дыбенко ул,20,"",4,193168,"","","","","","","","","","","","",""
549,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 549 с углубленным изучением английского языка Красносельского района Санкт-Петербурга,ГБОУ СОШ №549,school549.spb@yandex.ru,"Санкт-Петербург г, Маршала Захарова ул, 28, А, 198332",Директор,Семенова Ирина Георгиевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-246-20-50,Красносельский,Красносельский,"",1027804604541,school549.spb@yandex.ru,http://gousosh549krasnosr.krsl.gov.spb.ru,ГОУ СОШ №549,gousosh549krasnosr.krsl.gov.spb.ru,Санкт-Петербург г,Маршала Захарова ул,28,"","",198332,"","","","","","","","","","","","",""
344,Государственное бюджетное общеобразовательное учреждение лицей №344 Невского района Санкт-Петербурга,ГБОУ лицей №344,school344@inbox.ru,"Санкт-Петербург г, Тельмана ул, 47, 193315",Директор,Шелюховская Майя Николаевна,Общеобразовательные учреждения,Лицей,8-812-417-21-67,Невский,Невский,"",1027806066090,school344@inbox.ru,http://licey344spb.ru/,ГОУ лицей №344,http://licey344spb.ru/,Санкт-Петербург г,Тельмана ул,47,"","",193315,"","",00000000-0000-0000-0000-000000000000,"","","","","","","","","",""
317,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 317 Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ №317,sc317@adm-edu.spb.ru,"Санкт-Петербург г, Серпуховская ул, 39, А, 190013",Директор,Новикова Марина Владимировна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-316-16-92,Адмиралтейский,Адмиралтейский,"",1027810305533,school317@spb.edu.ru,http://www.school317.ru/,ГОУ СОШ №317,http://www.school317.ru/,Санкт-Петербург г,Серпуховская ул,39,"","",190013,Да,ГБОУ СОШ №317,"","","","","","","","","","",""
2,Государственное бюджетное общеобразовательное учреждение Вторая Санкт-Петербургская Гимназия,Вторая Санкт-Петербургская Гимназия,sec-gymn@yandex.ru,"Санкт-Петербург г, Казанская, 27, А, 190000",Директор,Мардер Людмила Маратовна,Общеобразовательные учреждения,Гимназия,8-812-315-67-89,Комитет по образованию Санкт-Петербурга,Комитет по образованию Санкт-Петербурга,"",1027810346387,sec-gymn@yandex.ru,http://www.2spbg.ru,ГОУ Вторая СПб Гимназия,www.2spbg.ru,Санкт-Петербург г,Казанская,27,"","",190000,"","",00000000-0000-0000-0000-000000000000,"","","","","","","","","",""
186,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 186 Калининского района Санкт-Петербурга,ГБОУ СОШ №186,school186@mail.ru,"Санкт-Петербург г, Замшина ул, 58, 2, 195271",Директор,Журавлёва Ольга Витальевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-24-11,Калининский,Калининский,"",1027802497557,school186@mail.ru ГОУ СОШ 186,http://sch186.petersburgedu.ru,ГОУ СОШ № 186,sch186.petersburgedu.ru,Санкт-Петербург г,Замшина ул,58,"",2,195271,Да,ГБОУ СОШ №186,00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
559,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 559 Выборгского района Санкт-Петербурга,ГБОУ СОШ №559,559@shko.la,"Санкт-Петербург г, Есенина ул, 36, А, 2, 194352",Директор,Непомнищева Валерия Владимировна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-33-01,Выборгский,Выборгский,"",1027801583700,school559@spb.edu.ru,http://559.shko.la,"ГОУ СОШ №559 (физика, математика)",http:\\559.shko.la,Санкт-Петербург г,Есенина ул,36,"",2,194352,Да,ГБОУ СОШ №559,"","","","","","","","","","",""
639,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 639 с углубленным изучением иностранных языков Невского района Санкт-Петербурга,ГБОУ СОШ №639,mailbox@school639.spb.ru,"Санкт-Петербург г, Реки Оккервиль наб, 10, А, 193318",Директор,Крылова Ирина Вадимовна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-440-17-05,Невский,Невский,"",1037825004711,y1977@yandex.ru,http://www.school639.spb.ru/,ГОУ СОШ №639,http://www.school639.spb.ru/,Санкт-Петербург г,Реки Оккервиль наб,10,"","",193318,"","","","","","","","","","","","",""
190,Государственное бюджетное общеобразовательное учреждение гимназия № 190 Центрального района Санкт-Петербурга,ГБОУ гимназия №190,sch190@center-edu.spb.ru,"Санкт-Петербург г, Реки Фонтанки наб, 22, А, 191028",Директор,Лысакова Ирина Васильевна,Общеобразовательные учреждения,Гимназия,8-812-273-34-28,Центральный,Центральный,"",1027809252130,sch190@center-edu.spb.ru,http://goul190tsr.acenter.gov.spb.ru,ГОУ лицей №190,goul190tsr.acenter.gov.spb.ru,Санкт-Петербург г,Реки Фонтанки наб,22,"","",191028,"","","","","","","","","","","","",""
229,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 229 Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ №229,sc229@adm-edu.spb.ru,"Санкт-Петербург г, Бойцова пер, 3, 190068",Директор,Петрова Наталия Анатольевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-32-42,Адмиралтейский,Адмиралтейский,"",1027810356221,school229@spb.edu.ru,http://school229.ru,ГОУ Лицей №229,school229.ru,Санкт-Петербург г,Бойцова пер,3,"","",190068,"","","","","","","","","","","","",""
137,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №137 Калининского района Санкт-Петербурга,ГБОУ СОШ №137,school137@list.ru,"Санкт-Петербург г, Вавиловых ул, 8, 2, литер А, 195257",Директор,Манько Сергей Алексеевич,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-555-29-17,Калининский,Калининский,"",1027802499340,school137@spb.edu.ru,http://www.school137.ru,ГОУ СОШ №137,www.school137.ru,Санкт-Петербург г,Вавиловых ул,8,"","2, литер А",195257,"","","","","","","","","","","","",""
539,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 539 с углубленным изучением иностранных языков Кировского района Санкт-Петербурга,ГБОУ СОШ №539,sc539@kirov.spb.ru,"Санкт-Петербург г, Подводника Кузьмина ул, 52, А, 198215",Директор,Фатеева Татьяна Николаевна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-377-21-41,Кировский,Кировский,"",1027802741988,sc539@kirov.spb.ru,http://www.kirov.spb.ru/sc/539,ГОУ СОШ №539 (исп.),http://www.kirov.spb.ru/sc/539,Санкт-Петербург г,Подводника Кузьмина ул,52,"","",198215,"","","","","","","","","","","","",""
126,Государственное бюджетное общеобразовательное учреждение Лицей №126 Калининского района Санкт-Петербурга,ГБОУ Лицей №126,info@l126.ru,"Санкт-Петербург г, Замшина ул, 14, А, 195197",Директор,Розов Павел Сергеевич,Общеобразовательные учреждения,Лицей,8-812-576-87-01,Калининский,Калининский,"",1027802499383,school126@spb.edu.ru,http://www.l126.ru,ГОУ Лицей № 126,www.l126.ru,Санкт-Петербург г,Замшина ул,14,"","",195197,"","","","","","","","","","","","",""
64,Государственное бюджетное общеобразовательное учреждение лицей № 64 Приморского района Санкт-Петербурга,ГБОУ лицей №64,primschool-64@yandex.ru,"Санкт-Петербург г, Богатырский пр-кт, 61, А, 2, 197082",Директор,Прокофьева Татьяна Михайловна,Общеобразовательные учреждения,Лицей,8-812-246-03-64,Приморский,Приморский,"",1027807581460,School64@spb.edu.ru,http://www.school64.spb.ru,ГОУ лицей №64 (физ-мат),http://www.school64.spb.ru,Санкт-Петербург г,Богатырский пр-кт,61,"",2,197082,"","","","","","","","","","","","",""
580,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 580 Приморского района Санкт-Петербурга,ГБОУ СОШ №580,admin@school-580.ru,"Санкт-Петербург г, Авиаконструкторов пр-кт, 29, А, 3, 197373",Директор,Головченко Юлия Владимировна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-307-08-79,Приморский,Приморский,"",1027807574827,school580@spb.edu.ru,http://school-580.ru,ГОУ СОШ №580,school-580.ru,Санкт-Петербург г,Авиаконструкторов пр-кт,29,"",3,197373,"","",00000000-0000-0000-0000-000000000000,Городская,7.00-19.00,"","",Функционирует,Нет групп ОВЗ,поставка,"","",""
480,Государственное бюджетное общеобразовательное учреждение школа № 480 Кировского района Санкт-Петербурга,ГБОУ №480,sc480@kirov.spb.ru,"Санкт-Петербург г, Маринеско ул, 7 литер А, 198096",Директор,Мурад Любовь Геннадьевна,"Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии",Специальная (коррекционная) общеобразовательная школа,8-812-783-50-70,Кировский,Кировский,"",1027802726522,sc480@kirov.spb.ru,http://www.kirov.spb.ru/sc/480,ГСК ОУ №480,http://www.kirov.spb.ru/sc/480,Санкт-Петербург г,Маринеско ул,7 литер А,"","",198096,"","","","","","","","","","","","",""
169,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №169 с углубленным изучением английского языка Центрального района Санкт-Петербурга,ГБОУ СОШ №169,sch169@cеnter-еdu.spb.ru,"Санкт-Петербург г, Харьковская ул, 13, 191024",Директор,Калашникова Маргарита Анатольевна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-417-32-50,Центральный,Центральный,"",1027809243571,sch169@cеnter-еdu.spb.ru,http://www.sch169.ru,ГОУ СОШ №169 (англ),http://www.sch169.ru,Санкт-Петербург г,Харьковская ул,13,"","",191024,Да,ГБОУ СОШ №169,"","","","","","","","","","",""
440,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 440 Приморского района Санкт-Петербурга имени П.В. Виттенбурга,ГБОУ СОШ №440,sch440@mail.ru,"Санкт-Петербург г, Хвойная ул, 35, А, 197229",Директор,Смирнов Сергей Геннадьевич,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-62-42,Приморский,Приморский,"",1027807591459,school440@spb.edu.ru,http://школа440.рф/,ГОУ СОШ №440,http://школа440.рф/,Санкт-Петербург г,Хвойная ул,35,"","",197229,"","",00000000-0000-0000-0000-000000000000,Городская,7.00-19.00,"","",Функционирует,Нет групп ОВЗ,поставка,"","",""
474,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 474 Выборгского района Санкт-Петербурга,ГБОУ СОШ №474,474@shko.la,"Санкт-Петербург г, Выборгское ш, 369, 3, 194362",Директор,Николаева Ирина Владимировна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-594-86-77,Выборгский,Выборгский,"",1027801582973,474@shko.la,http://474shkola.siteedu.ru/,ГОУ СОШ №474,http://474shkola.siteedu.ru/,Санкт-Петербург г,Выборгское ш,369,"",3,194362,Да,ГБОУ СОШ №474,"","","","","","","","","","",""
246,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №246 Приморского района Санкт-Петербурга,ГБОУ СОШ №246,info@school246.ru,"Санкт-Петербург г, Нижне-Каменская ул, 2, А, 197373",Директор,Полякова Раиса Федоровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-491-32-72,Приморский,Приморский,"",5067847266328,school246sbp@yandex.ru,http://school246.ru,ГОУ СОШ №246,http://school246.ru,Санкт-Петербург г,Нижне-Каменская ул,2,"","",197373,"","",00000000-0000-0000-0000-000000000000,Городская,7.00-19.00,"","",Функционирует,Нет групп ОВЗ,поставка,"","",""
529,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 529 Петродворцового района Санкт-Петербурга,ГБОУ СОШ №529,school529@mail.ru,"Санкт-Петербург г, город Петергоф, Разводная улица, 27, А, 198516",Директор,Назаренко Ирина Анатольевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-24-65,Петродворцовый,Петродворцовый,"",1027808912560,school529@mail.ru,http://www.529spb.edusite.ru,ГОУ СОШ № 529,www.529spb.edusite.ru,"Санкт-Петербург г, город Петергоф",Разводная улица,27,"","",198516,"","","","","","","","","","","","",""
260,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 260 Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ №260,sc260@adm-edu.spb.ru,"Санкт-Петербург г, Лермонтовский пр-кт, 21, А, 190068",Директор,Чирина Светлана Викторовна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-714-16-68,Адмиралтейский,Адмиралтейский,"",1027810291541,school260@spb.edu.ru,http://sc.adm-edu.spb.ru/260,ГОУ СОШ №260,sc.adm-edu.spb.ru/260,Санкт-Петербург г,Лермонтовский пр-кт,21,"","",190068,"","","","","","","","","","","","",""
222,"Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №222 с углубленным изучением немецкого языка ""ПЕТРИШУЛЕ"" Центрального района Санкт-Петербурга",ГБОУ СОШ №222,sch222@center-edu.spb.ru,"Санкт-Петербург г, Невский пр-кт, 22-24, А, 191186",Директор,Полякова Анна Викторовна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-417-20-44,Центральный,Центральный,"",1027809249049,sch222@center-edu.spb.ru,http://www.petrischule.spb.ru,ГОУ СОШ №222 (нем),www.petrischule.spb.ru,Санкт-Петербург г,Невский пр-кт,22-24,"","",191186,Да,ГБОУ СОШ №222,"","","","","","","","","","",""
188,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 188 с углубленным изучением мировой художественной культуры Красногвардейского района Санкт-Петербурга,ГБОУ СОШ №188,school188mhk@yandex.ru,"Санкт-Петербург г, Маршала Тухачевского ул, 17, А, 195253",Директор,Ежкова Ирина Борисовна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-417-25-74,Красногвардейский,Красногвардейский,"",1037816002950,"",http://spb188school.ucoz.ru/,ГОУ СОШ №188 (х-эст),http://spb188school.ucoz.ru/,Санкт-Петербург г,Маршала Тухачевского ул,17,"","",195253,Да,ГБОУ СОШ №188,"","","","","","","","","","",""
53,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №53 Приморского района Санкт-Петербурга,ГБОУ СОШ №53,primschool-53@yandex.ru,"Санкт-Петербург г, Школьная ул, 19, 197183",Директор,Максимова Елена Олеговна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-242-31-66,Приморский,Приморский,"",1027807585607,school53@spb.edu.ru,http://school53spb.ru/,ГОУ СОШ №53,http://school53spb.ru/,Санкт-Петербург г,Школьная ул,19,"","",197183,"","","","","","","","","","","","",""
448,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №448 Фрунзенского района Санкт- Петербурга,ГБОУ СОШ №448,school448@edu-frn.spb.ru,"Санкт-Петербург г, Бухарестская М. ул, 7, 1, 192288",Директор,Бельтюкова Елена Михайловна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-772-29-19,Фрунзенский,Фрунзенский,"",1027807991589,school448@list.ru,http://school448.ru,ГОУ СОШ №448,school448.ru,Санкт-Петербург г,Бухарестская М. ул,7,"",1,192288,"","","","","","","","","","","","",""
581,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 581 с углубленным изучением технологии Приморского района Санкт-Петербурга,ГБОУ СОШ №581,licei581@mail.ru,"Санкт-Петербург г, Авиаконструкторов пр-кт, 22, А, 1, 197373",Директор,Меиссе Ирина Олеговна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-417-63-96,Приморский,Приморский,"",1027807593703,licei581@mail.ru,http://www.shkola581.ru/,ГОУ лицей №581,http://www.shkola581.ru/,Санкт-Петербург г,Авиаконструкторов пр-кт,22,"",1,197373,"","",00000000-0000-0000-0000-000000000000,Городская,"9.00-13.00, 14.00-19.00",00000000-0000-0000-0000-000000000000‏,"",Функционирует,Нет групп ОВЗ,без питания,"","",""
437,Государственное бюджетное общеобразовательное учреждение начальная общеобразовательная школа №437 Курортного района Санкт-Петербурга,ГБОУ НОШ №437,ml437@yandex.ru,"Санкт-Петербург г, Ленинградская ул, 53, А, 197758",Исполняющий обязанности директора,Сманухина Елена Викторовна,Общеобразовательные учреждения,Начальная общеобразовательная школа,8-812-573-98-49,Курортный,Курортный,"",1117847071451,ML437@yandex.ru,http://www.школа437.рф,ГОУ СОШ №437,www.школа437.рф,Санкт-Петербург г,Ленинградская ул,53,"","",197758,"","",00000000-0000-0000-0000-000000000000,Городская,"","","","","","","",1027812404212,""
300,Государственное бюджетное общеобразовательное учреждение начальная общеобразовательная школа №300 Центрального района Санкт-Петербурга,ГБОУ НОШ №300,sch300@center-edu.spb.ru,"Санкт-Петербург г, Московская Б. ул, 10, 191002",Директор,Ильина Юлия Борисовна,Общеобразовательные учреждения,Начальная общеобразовательная школа,8-812-713-25-82,Центральный,Центральный,"",1027809242493,sch300@center-edu.spb.ru,http://www.shkola300.spb.ru,ГОУ НОШ №300,http://www.shkola300.spb.ru,Санкт-Петербург г,Московская Б. ул,10,"","",191002,Да,ГБОУ НОШ №300,"","","","","","","","","","",""
590,Государственное бюджетное общеобразовательное учреждение лицей № 590 Красносельского района Санкт-Петербурга,ГБОУ лицей №590,school590.spb@mail.ru,"Санкт-Петербург г, Котина ул, 6, A, 3, 198332",Директор,Каменский Алексей Михайлович,Общеобразовательные учреждения,Лицей,8-812-742-51-81,Красносельский,Красносельский,"",1027804599965,spb-school590@mail.ru,http://www.likt590.ru,ГОУ лицей №590,www.likt590.ru,Санкт-Петербург г,Котина ул,6,"",3,198332,"","","","","","","","","","","","",""
"","Государственное бюджетное учреждение дополнительного образования Дом детского творчества ""Союз"" Выборгского района Санкт-Петербурга","ГБУ ДО ДДТ ""Союз""",unionddt@mail.ru,"Санкт-Петербург г, Раевского пр-кт, 5, А, 2, 194064",Директор,Широкова Елена Петровна,Образовательные учреждения  дополнительного образования детей,Дом,8-812-241-22-37,"",Выборгский,"",1027801582225,"",http://unionddt.ru,"",http://unionddt.ru,Санкт-Петербург г,Раевского пр-кт,5,"",2,194064,"","","","","","","","","","","","",""
545,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 545 Курортного района Санкт- Петербурга,ГБОУ СОШ №545,spbschool-545@mail.ru,"Санкт-Петербург г, Сестрорецк г, Ново-Гагаринская ул, 39, 2, 197704",Директор,Лагутина Елена Борисовна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-432-62-01,Курортный,Курортный,"",1117847290824,"",http://school545.edusite.ru,"",school545.edusite.ru,"Санкт-Петербург г, Сестрорецк г",Ново-Гагаринская ул,39,"",2,197704,"","",00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
363,Государственное бюджетное общеобразовательное учреждение гимназия №363 Фрунзенского района Санкт-Петербурга,ГБОУ гимназия №363,school363@edu-frn.spb.ru,"Санкт-Петербург г, Димитрова ул, 15, 3, 192284",Директор,Акатова Ирина Борисовна,Общеобразовательные учреждения,Гимназия,8-812-772-62-74,Фрунзенский,Фрунзенский,"",1027807991562,school363@spb.edu.ru; school363spb@yandex.ru,http://gym363.spb.ru,ГОУ гимназия №363,gym363.spb.ru,Санкт-Петербург г,Димитрова ул,15,"",3,192284,"","","","","","","","","","","","",""
445,Государственное бюджетное общеобразовательное учреждение лицей № 445 Курортного района Санкт-Петербурга,ГБОУ лицей №445,school445@mail.ru,"Санкт-Петербург г, Зеленогорск г, Ленина пр-кт, 2, А, 197720",Исполняющий обязанности директора,Архипова Маргарита Валерьевна,Общеобразовательные учреждения,Лицей,8-812-417-21-90,Курортный,Курортный,"",1027812404971,school445@mail.ru,http://www.school445.ru,ГОУ лицей №445,www.school445.ru,"Санкт-Петербург г, Зеленогорск г",Ленина пр-кт,2,"","",197720,"","","","","","","","","","","",1024812404971,""
195,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №195 Красногвардейского района Санкт-Петербурга,ГБОУ СОШ №195,zav195@mail.ru,"Санкт-Петербург г, Энтузиастов пр-кт, 47, А, 2, 195030",Директор,Жекулин Алексей Владимирович,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-520-10-11,Красногвардейский,Красногвардейский,"",1037816029492,zav195@mail.ru,http://школа195.рф/,ГОУ СОШ №195,http://школа195.рф/,Санкт-Петербург г,Энтузиастов пр-кт,47,"",2,195030,"","","","","","","","","","","","",""
13,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 13 с углубленным изучением английского языка Невского района Санкт-Петербурга,ГБОУ СОШ №13,school13spb@inbox.ru,"Санкт-Петербург г, Дыбенко ул, 17, Ж, 3, 193230",Директор,Харчилава Елена Васильевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-585-33-28,Невский,Невский,"",1037825019594,school13spb@inbox.ru,http://school13spb.ru,ГОУ СОШ №13 (англ),http://school13spb.ru,Санкт-Петербург г,Дыбенко ул,17,"",3,193230,"","","","","","","","","","","","",""
493,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №493 Кировского района Санкт-Петербурга,ГБОУ СОШ №493,sc493@kirov.spb.ru,"Санкт-Петербург г, Зины Портновой ул, 15, А, 198207",Директор,Пахомова Галина Александровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-758-35-28,Кировский,Кировский,"",1027802737599,sc493@kirov.spb.ru,http://www.kirov.spb.ru/sc/493,ГОУ СОШ №493,http://www.kirov.spb.ru/sc/493,Санкт-Петербург г,Зины Портновой ул,15,"","",198207,"","","","","","","","","","","","",""
249,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 249 имени М.В. Маневича Кировского района Санкт-Петербурга,ГБОУ СОШ №249,sc249@kirov.spb.ru,"Санкт-Петербург г, Ветеранов пр-кт, 57, А, 198255",Директор,Скуратова Надежда Владимировна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-752-64-72,Кировский,Кировский,"",1027802725610,sc249@kirov.spb.ru,http://school249.spb.ru/,ГОУ СОШ №249,http://school249.spb.ru/,Санкт-Петербург г,Ветеранов пр-кт,57,"","",198255,"","","","","","","","","","","","",""
292,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 292 с углубленным изучением математики Фрунзенского района Санкт-Петербурга,ГБОУ СОШ №292,school292@edu-frn.spb.ru,"Санкт-Петербург г, Будапештская ул, 42, А, 6, 192071",Директор,Пятышева Мария Викторовна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-360-77-68,Фрунзенский,Фрунзенский,"",1027807992453,info@school292.spb.ru,http://school292.spb.ru,ГОУ СОШ №292 (мат.),school292.spb.ru,Санкт-Петербург г,Будапештская ул,42,"",6,192071,"","","","","","","","","","","","",""
58,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 58 Приморского района Санкт-Петербурга,ГБОУ СОШ №58,primschool58@yandex.ru,"Санкт-Петербург г, Королева пр-кт, 11, А, 197341",Директор,Кочанов Павел Сергеевич,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-241-23-25,Приморский,Приморский,"",1027807588082,school58@spb.edu.ru,http://www.school-58.ru,ГОУ СОШ №58,http://www.school-58.ru,Санкт-Петербург г,Королева пр-кт,11,"","",197341,"","",00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
619,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 619 Калининского района Санкт-Петербурга,ГБОУ СОШ №619,school619@mail.ru,"Санкт-Петербург г, Демьяна Бедного ул, 4, 2, 195274",Директор,Байкова Ирина Григорьевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-290-00-94,Калининский,Калининский,"",1027802506071,Ds619@mail.ru,http://www.school619.ru,ГОУ СОШ №619,www.school619.ru,Санкт-Петербург г,Демьяна Бедного ул,4,"",2,195274,Нет,ГБОУ СОШ №619,00000000-0000-0000-0000-000000000000,Городская,12 часов,00000000-0000-0000-0000-000000000000,Государственная,Функционирует,Нет групп ОВЗ,организация,"","",""
114,Государственное бюджетное общеобразовательное учреждение гимназия №114 Выборгского района Санкт-Петербурга,ГБОУ гимназия №114,114@shko.la,"Санкт-Петербург г, Есенина ул, 34, 2, 194358",Директор,Захарченко Ольга Сергеевна,Общеобразовательные учреждения,Гимназия,8-812-517-49-24,Выборгский,Выборгский,"",1027801583501,gou-gimnaziya114@yandex.ru,http://114.shko.la,ГОУ гимназия №114,114.shko.la,Санкт-Петербург г,Есенина ул,34,"",2,194358,Да,ГБОУ гимназия №114,"","","","","","","","","","",""
601,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 601 Приморского района Санкт- Петербурга,ГБОУ СОШ №601,spbprim@school601.ru,"Санкт-Петербург г, Приморский пр-кт, 143, А, 3, 197374",Директор,Лазарева Алла Александровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-409-84-37,Приморский,Приморский,"",1027807586091,school601@spb.edu.ru,http://www.school601.ru/,ГБОУ СОШ №601,http://www.school601.ru/,Санкт-Петербург г,Приморский пр-кт,143,"",3,197374,"","",00000000-0000-0000-0000-000000000000,Городская,07.00-19.00,"","",Функционирует,Нет групп ОВЗ,поставка,"","",""
